time,speaker,text
00:00.3 - 00:04.1,robot,"Now, I would like to ask you a couple of word problems. "
,participant,Ok
00:05.7 - 00:15.7,robot,"There are five groups of four students, how many students are there in the class "
,participant,20 students 
,robot,"good job, you are correct."
00:22.8 - 00:28.3,robot,"Each group has two pairs of scissors, how many pairs of scissors are there in total?"
00:32.9 - 00:33.8,participant,40 scissors
00:38.8 - 00:39.8,participant,40 scissors
00:43.4 - 00:53.6,robot,"please try again each group has two pairs of scissors, how many pairs of scissors are there in total "
,participant,8 pairs of scissors.
00:56.5 - 00:58.1,robot,"well done, you are so smart."
