time,Speaker,text
00:01.5 - 00:02.3,participant,Go ahead.
00:09.5 - 00:21.5,robot,So close on his mobile admirer Center and an admirer from 11:00 every reminder is her mother so everyone admires on her right. 
,participant,"No, that's not right."
00:30.1 - 00:31.8,robot,really? please try again.
,participant,Okay
00:37.2 - 00:49.2,robot, so how much line is the murdering my own summer and then admirer from madam everyone admires so madam so everyone denies on her right. 
,participant,No.
00:52.0 - 00:55.0,robot,"Yeah, I'm sorry maybe this question is too difficult."
01:01.9 - 01:02.3,participant,yeah
01:08.2 - 01:09.4,robot,"ah, you are correct."
