time,Speaker,text
00:00.4 - 00:03.3,robot,Now I would like to ask you a couple of math questions.
00:08.1 - 00:08.4,participant,"ok, yes."
00:11.9 - 00:22.1,participant,"If x equals four in next plus V plus log one equals 10 the question, is is the equal six or B = 12?"
00:23.7 - 00:25.5,participant,"Haha, can you repeat the question?"
00:29.3 - 00:30.4,participant,I don't know.
00:32.0 - 00:32.6,robot,No problem.
00:34.4 - 00:44.5,robot,Is x equals 4 and next plus-speed plus log one equals 10 the question? Is is the equal six or B equals 12?
00:46.0 - 00:46.3,participant,I don't know.
00:50.0 - 00:54.1,robot,I am sorry maybe this question is too difficult.
,,Yes.
01:00.3 - 01:00.6,robot,Yes.
01:03.2 - 01:06.3,robot,Thank you for talking with me. Look at my tablet.
